url,slug,page
https://stats.tennismylife.org/tournaments/us-open/records/timespan/rounds/F,us-open,records/timespan/rounds/F
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/Winner,us-open,records/roundsonentries/rounds/Winner
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/R32,us-open,records/roundsonentries/rounds/R32
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/R16,us-open,records/roundsonentries/rounds/R16
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/QF,us-open,records/roundsonentries/rounds/QF
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/SF,us-open,records/roundsonentries/rounds/SF
https://stats.tennismylife.org/tournaments/us-open/records/roundsonentries/rounds/F,us-open,records/roundsonentries/rounds/F
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/R32,us-open,records/least/rounds/R32
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/R16,us-open,records/least/rounds/R16
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/QF,us-open,records/least/rounds/QF
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/SF,us-open,records/least/rounds/SF
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/F,us-open,records/least/rounds/F
https://stats.tennismylife.org/tournaments/us-open/records/least/rounds/W,us-open,records/least/rounds/W
https://stats.tennismylife.org/tournaments/us-open/records/ages/main/youngest,us-open,records/ages/main/youngest
https://stats.tennismylife.org/tournaments/us-open/records/ages/main/oldest,us-open,records/ages/main/oldest
https://stats.tennismylife.org/tournaments/us-open/records/ages/titles/youngest,us-open,records/ages/titles/youngest
https://stats.tennismylife.org/tournaments/us-open/records/ages/titles/oldest,us-open,records/ages/titles/oldest
https://stats.tennismylife.org/tournaments/us-open/records/ages/youngestrounds/R128,us-open,records/ages/youngestrounds/R128
https://stats.tennismylife.org/tournaments/us-open/records/ages/youngestrounds/R64,us-open,records/ages/youngestrounds/R64
https://stats.tennismylife.org/tournaments/us-open/records/ages/youngestrounds/R32,us-open,records/ages/youngestrounds/R32
https://stats.tennismylife.org/tournaments/us-open/records/ages/youngestrounds/R16,us-open,records/ages/youngestrounds/R16
